"FA-Fs","FA-Con","FA-Mot","FA-Act","Cogni","Depr","PhF","SocF","RolePh","RoleE","EmotWB","Pain","HealthP","ChangeH","FutU","Visual","Motor"
0,0.191673966080405,0,0.142033164256687,0.0322839416504651,0.0460300738061425,0,0,0,0,0.0728347772398436,0.0106007744992767,0.0207417208024546,0.179629895396717,0,0,0.105640022587489
0.191673966080405,0,0,0.143601659568642,0,0.0170020562860639,0.409324741609644,0,0.024767974051421,0,0.0785823535143329,0,0.00958057526807505,0.0257028736750475,0,0,0.0556582088503372
0,0,0,0.0579840085637861,0.103127034618987,0,0.00128804607675235,0.375357508802254,0.175876375744815,0.0301649548557928,0,0.0867148859897315,0.093946537200919,0,0.0182943154482421,0,0
0.142033164256687,0.143601659568642,0.0579840085637861,0,0.173965060161545,0.206151679934805,0.0365882887065784,0.12637537214629,0,0.00907825771709673,0,0,0.0211678273674109,0.0485918508914656,0,0.0437715374749289,0
0.0322839416504651,0,0.103127034618987,0.173965060161545,0,0.030274161007986,0,0,0.124527256021596,0.124781989515492,0,0,0.0532600279401229,0,0,0,0.0707914704223492
0.0460300738061425,0.0170020562860639,0,0.206151679934805,0.030274161007986,0,0.353920590623011,0,0,0.145183605926356,0.0276896478317146,0.0402802055530526,0,0,0.0228431748303264,0,0
0,0.409324741609644,0.00128804607675235,0.0365882887065784,0,0.353920590623011,0,0.0168831618569237,0.00701788180108137,0,0.0925269492405991,0,0.041301357689846,0.0650517736748079,0,0,0
0,0,0.375357508802254,0.12637537214629,0,0,0.0168831618569237,0,0.0519360426978335,0,0,0.0159636633043092,0.0397903322025552,0.104072768930561,0.313064843440711,0,0.00934052969606537
0,0.024767974051421,0.175876375744815,0,0.124527256021596,0,0.00701788180108137,0.0519360426978335,0,0.0173396808163773,0.205370401863646,0,0.0401722751974083,0,0,0,0
0,0,0.0301649548557928,0.00907825771709673,0.124781989515492,0.145183605926356,0,0,0.0173396808163773,0,0.259291341547233,0,0,0,0.0622310085532148,0,0.0679126279553657
0.0728347772398436,0.0785823535143329,0,0,0,0.0276896478317146,0.0925269492405991,0,0.205370401863646,0.259291341547233,0,0,0,0,0,0.145188858262883,0.0617784875965609
0.0106007744992767,0,0.0867148859897315,0,0,0.0402802055530526,0,0.0159636633043092,0,0,0,0,0.129417174915266,0.123200895226869,0,0,0
0.0207417208024546,0.00958057526807505,0.093946537200919,0.0211678273674109,0.0532600279401229,0,0.041301357689846,0.0397903322025552,0.0401722751974083,0,0,0.129417174915266,0,0.0601983613818316,0.0810807756414403,0.165994533904029,0
0.179629895396717,0.0257028736750475,0,0.0485918508914656,0,0,0.0650517736748079,0.104072768930561,0,0,0,0.123200895226869,0.0601983613818316,0,0,0.00342491522218547,0
0,0,0.0182943154482421,0,0,0.0228431748303264,0,0.313064843440711,0,0.0622310085532148,0,0,0.0810807756414403,0,0,0,0
0,0,0,0.0437715374749289,0,0,0,0,0,0,0.145188858262883,0,0.165994533904029,0.00342491522218547,0,0,0.00786214692246891
0.105640022587489,0.0556582088503372,0,0,0.0707914704223492,0,0,0.00934052969606537,0,0.0679126279553657,0.0617784875965609,0,0,0,0,0.00786214692246891,0
