"FA-Fs","FA-Con","FA-Mot","FA-Act","Cogni","Depr","PhF","SocF","RolePh","RoleE","EmotWB","Pain","HealthP","ChangeH","FutU","Visual","Motor","CommD","HA","Seiz","Drow"
0,0.0714744989379019,0.228932098933037,0.222670271739531,0,0.136077491692272,0.19049944287231,0.0203806550239104,0.15733978379681,0,0.0386676431247095,0.0209816543819597,0.0713006673705414,0,0.089616198066916,0,0,0,0,0,0.176887151581663
0.0714744989379019,0,0,0,0.563357627088816,0.0930248907456407,0,0,0,0.0761903358336709,0.0231871125915918,0,0,0,0,0.0755796792350945,0,0.0529360348652016,0,0,0.0451458406896022
0.228932098933037,0,0,0.229852931081114,0,0.084532600494783,0.0470684229705755,0,0.159300955908305,0,0.0152172062931732,0,0.0795312747933254,0,0,0,0,0,0,0,0.0581937473084986
0.222670271739531,0,0.229852931081114,0,0,0,0.0658775696567004,0,0.0946272277444882,0,0,0,0,0.0423627967749645,0,0,0,0.000785223113616316,0,0,0.0405968083196472
0,0.563357627088816,0,0,0,0.0674335700046997,0,0.0664280396306355,0,0,0.0381485002957768,0,0,0,0.0298980724411642,0,0.0584757555945275,0.203290890166585,0,0,0
0.136077491692272,0.0930248907456407,0.084532600494783,0,0.0674335700046997,0,0,0.271623138303155,0,0.0563446407864269,0.332745945012556,0,0.0511397669049815,0,0,0,0,0.0393749742141502,0,0,0
0.19049944287231,0,0.0470684229705755,0.0658775696567004,0,0,0,0.0162317496074635,0.181207328034789,0,0,0.253164410753366,0.0667104598095708,0.0919754532014861,0,0.040962211618338,0.189026848539941,0,0,0,0
0.0203806550239104,0,0,0,0.0664280396306355,0.271623138303155,0.0162317496074635,0,0.123613470335424,0.139724416970982,0.0174650896156719,0.0420676692984233,0,0,0.0571803006691347,0,0.0931975430128331,0.0314306793200641,0,0.0175353195165263,0
0.15733978379681,0,0.159300955908305,0.0946272277444882,0,0,0.181207328034789,0.123613470335424,0,0.0240300213306066,0,0.0733897066075819,0.0198074946307837,0.07595508621376,0,0,0,0,0,0,0.142518689551454
0,0.0761903358336709,0,0,0,0.0563446407864269,0,0.139724416970982,0.0240300213306066,0,0.307893260181045,0.00806760741324847,0,0.0681092141545043,0.0503634487631387,0.103632832207553,0.0486466133526519,0,0.0776186604030134,0,0
0.0386676431247095,0.0231871125915918,0.0152172062931732,0,0.0381485002957768,0.332745945012556,0,0.0174650896156719,0,0.307893260181045,0,0,0.00204882150944185,0,0.173911516108263,0,0,0,0,0,0
0.0209816543819597,0,0,0,0,0,0.253164410753366,0.0420676692984233,0.0733897066075819,0.00806760741324847,0,0,0.0114009861907741,0,0,0,0.0288659214837183,0.0792557939588859,0.437721854400968,0,0
0.0713006673705414,0,0.0795312747933254,0,0,0.0511397669049815,0.0667104598095708,0,0.0198074946307837,0,0.00204882150944185,0.0114009861907741,0,0,0.350172511540702,0,0,0,0,0,0
0,0,0,0.0423627967749645,0,0,0.0919754532014861,0,0.07595508621376,0.0681092141545043,0,0,0,0,0.165225275607611,0,0,0,0,0.0204237672783845,0.132919794011836
0.089616198066916,0,0,0,0.0298980724411642,0,0,0.0571803006691347,0,0.0503634487631387,0.173911516108263,0,0.350172511540702,0.165225275607611,0,0,0,0,0.00363331321754567,0.173159471777989,0
0,0.0755796792350945,0,0,0,0,0.040962211618338,0,0,0.103632832207553,0,0,0,0,0,0,0.10317186676471,0,0.0743659777081692,0,0.0232516301537897
0,0,0,0,0.0584757555945275,0,0.189026848539941,0.0931975430128331,0,0.0486466133526519,0,0.0288659214837183,0,0,0,0.10317186676471,0,0.100606852282864,0.157631636619239,0.177759236763593,0
0,0.0529360348652016,0,0.000785223113616316,0.203290890166585,0.0393749742141502,0,0.0314306793200641,0,0,0,0.0792557939588859,0,0,0,0,0.100606852282864,0,0.0182438046211327,0,0
0,0,0,0,0,0,0,0,0,0.0776186604030134,0,0.437721854400968,0,0,0.00363331321754567,0.0743659777081692,0.157631636619239,0.0182438046211327,0,0,0
0,0,0,0,0,0,0,0.0175353195165263,0,0,0,0,0,0.0204237672783845,0.173159471777989,0,0.177759236763593,0,0,0,0
0.176887151581663,0.0451458406896022,0.0581937473084986,0.0405968083196472,0,0,0,0,0.142518689551454,0,0,0,0,0.132919794011836,0,0.0232516301537897,0,0,0,0,0
