"FA-Fs","FA-Con","FA-Mot","FA-Act","Cogni","Depr","PhF","SocF","RolePh","RoleE","EmotWB","Pain","HealthP","ChangeH","FutU","Visual","Motor","CommD","HA","Seiz","Drow"
0,0.179181181494873,0.24565143196976,0.247882221046059,0,0.0769329596398067,0.204930907964893,0.0137861521876096,0.0940277627974283,0.00221650947285858,0,0.00356232872807267,0.104387233606037,0.0408332447119987,0,0,0.0980703622023272,0,0,0,0.113511693077142
0.179181181494873,0,0.0255259617002497,0.0059184358661979,0.47609945109486,0.124763120394275,0,0.0149229074604934,0.088910690255526,0.0483289126028802,0.058657759752719,0,0,0,0,0,0,0,0,0,0.0513870165481455
0.24565143196976,0.0255259617002497,0,0.198052325374065,0,0.112822992627974,0.0301297149437434,0,0.0463409343988233,0,0,0,0.095926862568788,0.0277022405136542,0.145622540347927,0,0,0,0,0,0.0979305624139657
0.247882221046059,0.0059184358661979,0.198052325374065,0,0,0,0,0,0.115378524675332,0,0,0,0,0.0810947615114279,0,0,0.0291626936394912,0,0,0,0.0735012250954661
0,0.47609945109486,0,0,0,0.0838509175638151,0,0.16866129439186,0,0,0,0,0,0,0.0107660836423108,0,0.0209933087281913,0.182021144831678,0,0,0
0.0769329596398067,0.124763120394275,0.112822992627974,0,0.0838509175638151,0,0,0.138612873398921,0,0.0586787423103626,0.367647312060638,0,0,0,0.0953491629301783,0,0,0,0,0,0
0.204930907964893,0,0.0301297149437434,0,0,0,0,0.0310046162462245,0.0998082675069278,0.015278440962888,0,0.28070290651049,0.156281738048677,0,0,0.1355284076009,0.131183343990132,0,0.0728248886602907,0,0
0.0137861521876096,0.0149229074604934,0,0,0.16866129439186,0.138612873398921,0.0310046162462245,0,0.108005723893238,0.151223287654693,0.0667521452734542,0.0701954291920134,0,0.00967659261973509,0,0,0.0768450833837603,0.147784154628287,0.00992563033979752,0.130679968623782,0
0.0940277627974283,0.088910690255526,0.0463409343988233,0.115378524675332,0,0,0.0998082675069278,0.108005723893238,0,0.0560265504425015,0,0,0.0355014741012016,0.149836082486157,0.0394913726533466,0,0.0210810238888997,0,0,0,0.178744354598321
0.00221650947285858,0.0483289126028802,0,0,0,0.0586787423103626,0.015278440962888,0.151223287654693,0.0560265504425015,0,0.333183372195229,0,0.0238408754440672,0.140221172821009,0.0493056968020506,0.0555198053132815,0,0,0.0376855409251958,0,0
0,0.058657759752719,0,0,0,0.367647312060638,0,0.0667521452734542,0,0.333183372195229,0,0,0.0122666205924576,0,0.116739087884838,0,0,0,0.0298570051522102,0,0
0.00356232872807267,0,0,0,0,0,0.28070290651049,0.0701954291920134,0,0,0,0,0.0862932155796263,0,0,0,0,0.106237974143154,0.336591791297882,0,0
0.104387233606037,0,0.095926862568788,0,0,0,0.156281738048677,0,0.0355014741012016,0.0238408754440672,0.0122666205924576,0.0862932155796263,0,0.00970003582309242,0.230689154507022,0,0,0,0,0,0
0.0408332447119987,0,0.0277022405136542,0.0810947615114279,0,0,0,0.00967659261973509,0.149836082486157,0.140221172821009,0,0,0.00970003582309242,0,0.1563208988564,0,0,0,0,0,0.00930159533828389
0,0,0.145622540347927,0,0.0107660836423108,0.0953491629301783,0,0,0.0394913726533466,0.0493056968020506,0.116739087884838,0,0.230689154507022,0.1563208988564,0,0.0122777967538048,0,0.0164605166340178,0,0.0490845234934684,0
0,0,0,0,0,0,0.1355284076009,0,0,0.0555198053132815,0,0,0,0,0.0122777967538048,0,0.149225693528668,0.0873409889172375,0.00713835932695122,0.0274891048400225,0.0436281186303826
0.0980703622023272,0,0,0.0291626936394912,0.0209933087281913,0,0.131183343990132,0.0768450833837603,0.0210810238888997,0,0,0,0,0,0,0.149225693528668,0,0.0579365222098009,0.021777839854477,0.0732617630265988,0
0,0,0,0,0.182021144831678,0,0,0.147784154628287,0,0,0,0.106237974143154,0,0,0.0164605166340178,0.0873409889172375,0.0579365222098009,0,0,0.0854206781159995,0
0,0,0,0,0,0,0.0728248886602907,0.00992563033979752,0,0.0376855409251958,0.0298570051522102,0.336591791297882,0,0,0,0.00713835932695122,0.021777839854477,0,0,0,0
0,0,0,0,0,0,0,0.130679968623782,0,0,0,0,0,0,0.0490845234934684,0.0274891048400225,0.0732617630265988,0.0854206781159995,0,0,0
0.113511693077142,0.0513870165481455,0.0979305624139657,0.0735012250954661,0,0,0,0,0.178744354598321,0,0,0,0,0.00930159533828389,0,0.0436281186303826,0,0,0,0,0
